week_begin,week_end,visits,visitors,new_visitors,pages,search_systems,links_on_sites,mailing_lists,Ru_part
03.01.22,09.01.22,828,720,628,1672,446,74,4,43.5
10.01.22,16.01.22,1540,1253,1063,3563,861,169,2,62.2
17.01.22,23.01.22,1987,1642,1360,4272,1005,206,14,63.5
24.01.22,30.01.22,1801,1448,1242,4230,1064,166,22,60.3
31.01.22,06.02.22,1843,1438,1195,3930,1110,178,19,62
07.02.22,13.02.22,1914,1506,1270,4023,1156,193,7,61.2
14.02.22,20.02.22,2375,1877,1567,5348,1219,190,40,65.4
21.02.22,27.02.22,1546,1255,1031,3276,949,132,7,57.3
28.02.22,06.03.22,1623,1299,1085,3698,941,114,24,65.4
07.03.22,13.03.22,1539,1255,1068,3136,953,111,8,58.3
14.03.22,20.03.22,2043,1670,1437,4151,1345,137,9,54.8
21.03.22,27.03.22,1993,1595,1368,4506,1164,169,11,62.3
28.03.22,03.04.22,1925,1544,1280,4470,1164,188,18,63
04.04.22,10.04.22,1815,1423,1195,4491,1119,179,7,63.6
11.04.22,17.04.22,1929,1546,1299,4595,1029,230,61,70.2
